,cm_overall,epochs,network,pct_white,test_size,training_size,p_cm,P_cm,r_cm,R_cm,n_cm,N_cm,b_cm,B_cm,q_cm,Q_cm,k_cm,K_cm,white_cm,black_cm
1,"[[4023 4029]
 [ 905 1043]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[496  65]
 [557  65]]","[[513  93]
 [484 136]]","[[291  90]
 [327 120]]","[[397 104]
 [380 131]]","[[244  37]
 [288  27]]","[[334  81]
 [284  97]]","[[287  46]
 [260  37]]","[[311  70]
 [292  74]]","[[300  59]
 [309  66]]","[[326  80]
 [371 112]]","[[234  72]
 [235  64]]","[[290 108]
 [242 114]]","[[2171  536]
 [2053  664]]","[[1852  369]
 [1976  379]]"
1,"[[3848 3799]
 [1080 1273]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[382 179]
 [379 243]]","[[559  47]
 [539  81]]","[[248 133]
 [277 170]]","[[410  91]
 [418  93]]","[[192  89]
 [203 112]]","[[376  39]
 [323  58]]","[[224 109]
 [203  94]]","[[348  33]
 [326  40]]","[[242 117]
 [236 139]]","[[353  53]
 [428  55]]","[[198 108]
 [204  95]]","[[316  82]
 [263  93]]","[[2362  345]
 [2297  420]]","[[1486  735]
 [1502  853]]"
1,"[[ 552  424]
 [4376 4648]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[ 33 528]
 [ 20 602]]","[[ 57 549]
 [ 38 582]]","[[ 43 338]
 [ 49 398]]","[[ 93 408]
 [ 67 444]]","[[ 14 267]
 [ 12 303]]","[[ 40 375]
 [ 36 345]]","[[ 13 320]
 [ 14 283]]","[[ 39 342]
 [ 28 338]]","[[ 31 328]
 [  8 367]]","[[ 44 362]
 [ 39 444]]","[[ 53 253]
 [ 47 252]]","[[ 92 306]
 [ 66 290]]","[[ 365 2342]
 [ 274 2443]]","[[ 187 2034]
 [ 150 2205]]"
1,"[[3966 3736]
 [ 962 1336]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[450 111]
 [416 206]]","[[563  43]
 [516 104]]","[[218 163]
 [242 205]]","[[407  94]
 [409 102]]","[[225  56]
 [231  84]]","[[392  23]
 [342  39]]","[[247  86]
 [199  98]]","[[358  23]
 [321  45]]","[[241 118]
 [216 159]]","[[356  50]
 [411  72]]","[[192 114]
 [179 120]]","[[317  81]
 [254 102]]","[[2393  314]
 [2253  464]]","[[1573  648]
 [1483  872]]"
1,"[[2757 1909]
 [2171 3163]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[180 381]
 [ 64 558]]","[[439 167]
 [245 375]]","[[166 215]
 [147 300]]","[[349 152]
 [309 202]]","[[ 88 193]
 [ 53 262]]","[[295 120]
 [197 184]]","[[131 202]
 [ 76 221]]","[[277 104]
 [209 157]]","[[138 221]
 [ 76 299]]","[[275 131]
 [260 223]]","[[154 152]
 [ 90 209]]","[[265 133]
 [183 173]]","[[1900  807]
 [1403 1314]]","[[ 857 1364]
 [ 506 1849]]"
1,"[[3783 2253]
 [1145 2819]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[411 150]
 [123 499]]","[[509  97]
 [164 456]]","[[265 116]
 [222 225]]","[[377 124]
 [300 211]]","[[210  71]
 [148 167]]","[[342  73]
 [220 161]]","[[252  81]
 [161 136]]","[[320  61]
 [215 151]]","[[262  97]
 [151 224]]","[[334  72]
 [241 242]]","[[207  99]
 [143 156]]","[[294 104]
 [165 191]]","[[2176  531]
 [1305 1412]]","[[1607  614]
 [ 948 1407]]"
1,"[[2962 1199]
 [1966 3873]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[229 332]
 [ 48 574]]","[[462 144]
 [ 95 525]]","[[194 187]
 [ 85 362]]","[[340 161]
 [233 278]]","[[130 151]
 [ 37 278]]","[[318  97]
 [141 240]]","[[150 183]
 [ 39 258]]","[[286  95]
 [137 229]]","[[150 209]
 [ 36 339]]","[[299 107]
 [162 321]]","[[149 157]
 [ 66 233]]","[[255 143]
 [120 236]]","[[1960  747]
 [ 888 1829]]","[[1002 1219]
 [ 311 2044]]"
1,"[[3968 2705]
 [ 960 2367]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[473  88]
 [230 392]]","[[520  86]
 [286 334]]","[[286  95]
 [277 170]]","[[363 138]
 [280 231]]","[[238  43]
 [182 133]]","[[364  51]
 [255 126]]","[[282  51]
 [198  99]]","[[326  55]
 [244 122]]","[[293  66]
 [175 200]]","[[330  76]
 [273 210]]","[[210  96]
 [156 143]]","[[283 115]
 [149 207]]","[[2186  521]
 [1487 1230]]","[[1782  439]
 [1218 1137]]"
1,"[[3515  586]
 [1413 4486]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[421 140]
 [ 50 572]]","[[445 161]
 [ 58 562]]","[[271 110]
 [ 60 387]]","[[326 175]
 [ 64 447]]","[[212  69]
 [ 61 254]]","[[297 118]
 [ 27 354]]","[[257  76]
 [ 56 241]]","[[259 122]
 [ 42 324]]","[[261  98]
 [ 47 328]]","[[280 126]
 [ 58 425]]","[[226  80]
 [ 34 265]]","[[260 138]
 [ 29 327]]","[[1867  840]
 [ 278 2439]]","[[1648  573]
 [ 308 2047]]"
1,"[[3707  418]
 [1221 4654]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[456 105]
 [ 51 571]]","[[452 154]
 [ 43 577]]","[[287  94]
 [ 47 400]]","[[339 162]
 [ 46 465]]","[[230  51]
 [ 30 285]]","[[303 112]
 [ 23 358]]","[[273  60]
 [ 38 259]]","[[286  95]
 [ 35 331]]","[[281  78]
 [ 34 341]]","[[281 125]
 [ 37 446]]","[[234  72]
 [ 20 279]]","[[285 113]
 [ 14 342]]","[[1946  761]
 [ 198 2519]]","[[1761  460]
 [ 220 2135]]"
1,"[[4044  365]
 [ 884 4707]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[461 100]
 [ 32 590]]","[[521  85]
 [ 33 587]]","[[300  81]
 [ 55 392]]","[[384 117]
 [ 43 468]]","[[224  57]
 [ 25 290]]","[[367  48]
 [ 23 358]]","[[278  55]
 [ 38 259]]","[[329  52]
 [ 19 347]]","[[289  70]
 [ 30 345]]","[[329  77]
 [ 36 447]]","[[246  60]
 [ 22 277]]","[[316  82]
 [  9 347]]","[[2246  461]
 [ 163 2554]]","[[1798  423]
 [ 202 2153]]"
1,"[[3338  348]
 [1590 4724]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[397 164]
 [ 41 581]]","[[416 190]
 [ 44 576]]","[[266 115]
 [ 53 394]]","[[317 184]
 [ 36 475]]","[[201  80]
 [ 25 290]]","[[287 128]
 [ 14 367]]","[[242  91]
 [ 28 269]]","[[243 138]
 [ 19 347]]","[[256 103]
 [ 28 347]]","[[259 147]
 [ 24 459]]","[[211  95]
 [ 24 275]]","[[243 155]
 [ 12 344]]","[[1765  942]
 [ 149 2568]]","[[1573  648]
 [ 199 2156]]"
1,"[[3714  612]
 [1214 4460]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[437 124]
 [ 62 560]]","[[441 165]
 [ 64 556]]","[[291  90]
 [ 78 369]]","[[354 147]
 [ 53 458]]","[[214  67]
 [ 36 279]]","[[309 106]
 [ 24 357]]","[[257  76]
 [ 80 217]]","[[297  84]
 [ 39 327]]","[[285  74]
 [ 54 321]]","[[294 112]
 [ 52 431]]","[[241  65]
 [ 41 258]]","[[294 104]
 [ 29 327]]","[[1989  718]
 [ 261 2456]]","[[1725  496]
 [ 351 2004]]"
1,"[[3960  321]
 [ 968 4751]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[459 102]
 [ 35 587]]","[[502 104]
 [ 28 592]]","[[295  86]
 [ 38 409]]","[[374 127]
 [ 40 471]]","[[230  51]
 [ 20 295]]","[[350  65]
 [ 18 363]]","[[279  54]
 [ 40 257]]","[[314  67]
 [ 15 351]]","[[288  71]
 [ 27 348]]","[[323  83]
 [ 30 453]]","[[240  66]
 [ 21 278]]","[[306  92]
 [  9 347]]","[[2169  538]
 [ 140 2577]]","[[1791  430]
 [ 181 2174]]"
